181116 215844.020|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\user\Desktop\pc2Team\bin\logs directory.
181116 222337.363|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 JUDGED 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 222337.363|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-6441058498657839471
181116 222337.363|INFO|Thread-14|info|handlePacket start Packet[RUN_JUDGEMENT] #2132 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 222337.363|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #2132 ) handlePacket
181116 222337.363|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 222337.363|INFO|Thread-14|dumpPacket|    To: TEAM101 @ site 1
181116 222337.363|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 222337.363|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 401 JUDGED 11795 min 707718927ms from TEAM101 @ site 1 id Run--2965687167001435628 problem Problema 5.2-7141579107318407924 lang GNU C-9089484471426497038
181116 222337.363|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-6441058498657839471
181116 222342.605|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2132 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223030.647|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Problema 5.3 GNU C file: C:\Users\user\Desktop\sirord\main.c
181116 223030.647|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 223030.647|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 223031.177|INFO|Thread-16|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2194 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223031.177|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2194 ) recieveObject
181116 223031.177|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223031.177|INFO|Thread-16|dumpPacket|    To: TEAM101 @ site 1
181116 223031.177|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 QUEUED_FOR_COMPUTER_JUDGEMENT 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223031.177|INFO|Thread-16|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2194 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223031.177|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2194 ) handlePacket
181116 223031.177|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223031.177|INFO|Thread-16|dumpPacket|    To: TEAM101 @ site 1
181116 223031.177|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 QUEUED_FOR_COMPUTER_JUDGEMENT 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223035.265|INFO|Thread-16|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2194 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223043.007|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2198 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #2198 ) recieveObject
181116 223043.007|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223043.007|INFO|Thread-17|dumpPacket|    To: TEAM101 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 MANUAL_REVIEW 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223043.007|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3329015377276151543
181116 223043.007|INFO|Thread-17|info|handlePacket start Packet[RUN_JUDGEMENT] #2198 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|Packet RUN_JUDGEMENT (Seq #2198 ) handlePacket
181116 223043.007|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223043.007|INFO|Thread-17|dumpPacket|    To: TEAM101 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 223043.007|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 MANUAL_REVIEW 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223043.007|INFO|Thread-17|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3329015377276151543
181116 223049.428|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2198 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223105.071|INFO|Thread-18|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2201 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #2201 ) recieveObject
181116 223105.071|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223105.071|INFO|Thread-18|dumpPacket|    To: TEAM101 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 JUDGED 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223105.071|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3329015377276151543
181116 223105.071|INFO|Thread-18|info|handlePacket start Packet[RUN_JUDGEMENT] #2201 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #2201 ) handlePacket
181116 223105.071|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 223105.071|INFO|Thread-18|dumpPacket|    To: TEAM101 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 223105.071|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 410 JUDGED 11812 min 708724348ms from TEAM101 @ site 1 id Run--2666252018298408745 problem Problema 5.3-1570369360657878525 lang GNU C-9089484471426497038
181116 223105.071|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3329015377276151543
181116 223109.400|INFO|Thread-18|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2201 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224642.674|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Problema 5.4 GNU C file: C:\Users\user\Desktop\ariagraf\main.c
181116 224642.674|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 224642.674|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM101 @ site 1 -> SERVER0 @ site 1
181116 224643.657|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2231 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224643.657|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2231 ) recieveObject
181116 224643.657|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 224643.657|INFO|Thread-20|dumpPacket|    To: TEAM101 @ site 1
181116 224643.657|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 414 QUEUED_FOR_COMPUTER_JUDGEMENT 11828 min 709696823ms from TEAM101 @ site 1 id Run--6036188051267450594 problem Problema 5.4-8479197268671832535 lang GNU C-9089484471426497038
181116 224643.657|INFO|Thread-20|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2231 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224643.657|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2231 ) handlePacket
181116 224643.657|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 224643.657|INFO|Thread-20|dumpPacket|    To: TEAM101 @ site 1
181116 224643.657|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 414 QUEUED_FOR_COMPUTER_JUDGEMENT 11828 min 709696823ms from TEAM101 @ site 1 id Run--6036188051267450594 problem Problema 5.4-8479197268671832535 lang GNU C-9089484471426497038
181116 224645.575|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2231 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224657.189|INFO|Thread-21|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2235 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224657.189|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #2235 ) recieveObject
181116 224657.189|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 224657.189|INFO|Thread-21|dumpPacket|    To: TEAM101 @ site 1
181116 224657.190|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 224657.190|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 414 MANUAL_REVIEW 11828 min 709696823ms from TEAM101 @ site 1 id Run--6036188051267450594 problem Problema 5.4-8479197268671832535 lang GNU C-9089484471426497038
181116 224657.190|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3646413378175230656
181116 224657.190|INFO|Thread-21|info|handlePacket start Packet[RUN_JUDGEMENT] #2235 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224657.190|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #2235 ) handlePacket
181116 224657.190|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (lucian-PC @ 193.226.37.17) (Contest Id: Antrenament-6848141497330215606)
181116 224657.190|INFO|Thread-21|dumpPacket|    To: TEAM101 @ site 1
181116 224657.190|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
181116 224657.191|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 414 MANUAL_REVIEW 11828 min 709696823ms from TEAM101 @ site 1 id Run--6036188051267450594 problem Problema 5.4-8479197268671832535 lang GNU C-9089484471426497038
181116 224657.191|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes--3981002496562757518 id JudgementRecord-3646413378175230656
181116 224701.798|INFO|Thread-21|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2235 SERVER0 @ site 1 -> TEAM101 @ site 1
181116 224810.868|INFO|Thread-22|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2242 SERVER0 @ site 1 -> TEAM101 @ site 1
